瑶琳仙境|好评(4817)|中评(89)|差评(27)|全部(5083)|4.8
厦门海上看金门|好评(2572)|中评(102)|差评(45)|全部(2791)|4.7
五缘湾游艇帆船港|好评(3267)|中评(16)|差评(29)|全部(3385)|4.8
港仔后海滨浴场|好评(255)|0|差评(3)|全部(258)|5
毓园|好评(216)|中评(1)|差评(3)|全部(220)|4.9
厦门科技馆|好评(15324)|中评(145)|差评(62)|全部(15823)|4.8
曾厝垵|好评(1033)|中评(118)|差评(4)|全部(1220)|4.3
香山游艇会|好评(77)|中评(1)|差评(2)|全部(81)|4.8
风琴博物馆|好评(1508)|中评(95)|差评(27)|全部(1718)|4.4
海天堂构|好评(728)|中评(38)|差评(4)|全部(770)|4.7
厦门帷幕开啦红地毯蜡像艺术馆|好评(3260)|中评(34)|差评(9)|全部(3384)|4.8
国际刻字艺术馆|好评(3411)|中评(54)|差评(48)|全部(3658)|4.7
厦门方特东方神画|好评(3747)|中评(1)|差评(14)|全部(3769)|5
最美转角|好评(187)|0|差评(3)|全部(190)|4.9
五缘湾万嘀帆船出海|好评(3964)|中评(7)|差评(8)|全部(3979)|5
鹭江悠游（旅游客运码头）|好评(335)|中评(5)|差评(9)|全部(362)|4.7
海上看金门（和平码头）|好评(666)|0|差评(4)|全部(670)|5
鼓浪屿日本领事馆旧址|好评(39)|0|0|全部(39)|5
五缘湾|好评(265)|中评(1)|差评(1)|全部(267)|5
七彩环岛公路|好评(1178)|中评(39)|差评(3)|全部(1275)|4.5
白城沙滩|好评(58)|0|0|全部(61)|4.7
五缘湾湿地公园|好评(91)|中评(1)|0|全部(96)|4.7
环岛路海滩|好评(40)|中评(1)|差评(7)|全部(49)|4.3
厦门海底世界|好评(10118)|中评(215)|差评(91)|全部(10569)|4.8
厦门湾·白塘湾火山公园|好评(1420)|中评(2)|差评(1)|全部(1739)|4.1
五通灯塔公园|好评(20)|0|0|全部(20)|5
珊瑚礁海洋世界|好评(93)|0|差评(3)|全部(96)|4.9
香山游艇会帆船俱乐部|好评(19)|0|0|全部(19)|5
陈嘉庚纪念胜地景区|好评(266)|中评(8)|差评(6)|全部(280)|4.8
贝壳梦幻世界|好评(2432)|中评(49)|差评(18)|全部(2632)|4.6
厦门方特旅游区|好评(606)|中评(1)|差评(1)|全部(609)|5
小嶝岛|好评(122)|中评(10)|差评(1)|全部(133)|4.7
厦门老院子景区|好评(2808)|中评(46)|差评(19)|全部(2908)|4.9
闽南神韵|好评(146)|中评(20)|差评(1)|全部(167)|4.6
百年鼓浪屿博物馆|好评(137)|中评(7)|差评(2)|全部(151)|4.5
五缘湾国际游艇会|好评(150)|中评(3)|差评(1)|全部(154)|4.9
皓月园|好评(5758)|中评(231)|差评(70)|全部(6352)|4.6
沙坡尾|好评(22)|0|0|全部(22)|4.9
颠倒博物馆|好评(1812)|中评(7)|差评(9)|全部(1846)|4.9
厦门之星氦气球乐园|好评(50)|0|0|全部(50)|5
嘉庚公园|好评(842)|中评(54)|差评(2)|全部(964)|4.4
环鼓浪屿夜游-鹭江之星号|好评(134)|0|差评(1)|全部(137)|4.9
厦门湾·白塘湾火山温泉|好评(504)|0|0|全部(778)|3.2
万国建筑博览|好评(630)|中评(4)|差评(10)|全部(644)|4.9
灵玲国际马戏城|好评(12886)|中评(52)|差评(38)|全部(13089)|4.9
海沧大桥|好评(89)|中评(14)|0|全部(117)|3.8
星空魔幻城|好评(167)|中评(1)|0|全部(168)|5
厦门五缘湾拓海帆船俱乐部|好评(281)|中评(2)|差评(2)|全部(285)|4.9
诚毅科技探索中心|好评(2589)|中评(31)|差评(23)|全部(2709)|4.8
闽海湾帆船出海体验|好评(74)|0|0|全部(74)|5
厦门红枪帆船俱乐部|好评(55)|中评(1)|0|全部(56)|5
香山帆船出海体验|好评(298)|中评(2)|差评(5)|全部(305)|4.9
厦门帆汇帆船游艇俱乐部|好评(218)|中评(10)|0|全部(245)|4.4
厦门海上明珠观光塔|好评(308)|中评(19)|差评(11)|全部(357)|4.4
鼓浪屿中国唱片博物馆（黄荣远堂）|好评(93)|中评(23)|0|全部(116)|4.5
金厦环鼓游|好评(93)|0|差评(2)|全部(99)|4.7
东渡邮轮码头|好评(20)|0|0|全部(20)|5
巨鹏飞梦幻海岸|好评(5984)|中评(173)|差评(104)|全部(6587)|4.6
英雄三岛|好评(110)|中评(13)|差评(2)|全部(131)|4.3
厦门五缘通帆船出海|好评(106)|0|差评(3)|全部(109)|4.9
鹭江海上夜游（和平码头）|好评(203)|中评(3)|差评(2)|全部(208)|4.9
厦门中非世野野生动物园|好评(593)|中评(1)|差评(5)|全部(600)|5
厦门接送服务|好评(14)|中评(1)|0|全部(15)|4.8
厦门金厦海域游|好评(18)|中评(1)|差评(1)|全部(20)|4.6
风运帆船|好评(235)|0|0|全部(235)|5
北辰山|好评(306)|中评(9)|差评(2)|全部(338)|4.5
椰风寨|好评(141)|中评(1)|差评(2)|全部(145)|4.9
帆尚游艇帆船出海体验|好评(24)|0|0|全部(24)|5
时空魔方|好评(127)|0|0|全部(128)|5
狐尾山公园|好评(51)|中评(4)|0|全部(57)|4.5
跑跑卡丁车俱乐部|好评(177)|0|0|全部(177)|5
厦门红点设计博物馆|好评(30)|0|差评(3)|全部(33)|4.6
天竺山森林公园|好评(129)|中评(27)|差评(15)|全部(189)|3.7
厦门香山国际游艇会码头|好评(4)|0|0|全部(4)|5
集美果乐园景区|好评(327)|0|0|全部(327)|5
鼓浪屿食物狂想馆|好评(32)|0|0|全部(32)|5
耶稣君王堂|好评(26)|0|0|全部(26)|5
顶上生态风景区|好评(69)|中评(1)|差评(1)|全部(71)|4.9
战地观光园|好评(72)|中评(3)|差评(3)|全部(78)|4.7
五缘湾沙滩九舟皮划艇|好评(12)|中评(1)|0|全部(13)|4.8
筼筜雅游|好评(93)|中评(18)|0|全部(111)|4.5
故宫鼓浪屿外国文物馆|好评(19)|0|0|全部(21)|4.5
突击联盟厦门射击俱乐部|好评(19)|0|0|全部(19)|5
厦门奥林匹克博物馆|好评(39)|中评(7)|0|全部(46)|4.6
五缘湾海通联游艇出海|好评(4)|0|0|全部(4)|5
厦门龙谷丛林越野俱乐部|好评(1)|0|0|全部(1)|5
演武大桥|好评(4)|0|0|全部(4)|4.8
白鹭洲公园|好评(9)|中评(2)|0|全部(11)|4.5
双龙潭生态运动景区|好评(909)|中评(6)|差评(3)|全部(927)|4.9
海沧湾公园|好评(7)|0|0|全部(7)|5
郑成功纪念馆|好评(3)|0|0|全部(3)|4.3
美季魔法温泉|好评(97)|0|差评(3)|全部(100)|4.9
德安古堡|好评(43)|中评(11)|差评(3)|全部(57)|4.2
厦门银丰温泉度假村|好评(7)|中评(1)|0|全部(8)|4.5
顶上乡村|好评(34)|0|0|全部(34)|5
环岛路爱纳格帆船出海体验|好评(8)|0|0|全部(8)|5
星空失恋博物馆|好评(7)|0|0|全部(7)|5
环岛路木栈道|好评(5)|0|0|全部(5)|5
Double one蹦床体验中心|好评(7)|0|0|全部(7)|5
厦门晟达海帆船出海体验|好评(8)|0|0|全部(8)|5
五缘湾游海帆船出海|好评(1)|0|0|全部(1)|5
文保奇妙夜之胡里山炮台|好评(1)|0|0|全部(1)|5
五缘海水浴场|好评(18)|中评(1)|0|全部(19)|4.6
英国领事公馆旧址|好评(30)|0|0|全部(30)|5
D36运动嘉年华|好评(1)|0|0|全部(1)|5
天山泉活水养生SPA馆|0|0|0|0|4.8
惠和石文化园|好评(153)|中评(18)|0|全部(178)|4.4
五缘湾百舸水上运动俱乐部|好评(12)|中评(1)|0|全部(13)|4.8
野山谷|好评(356)|中评(8)|差评(5)|全部(381)|4.7
番婆楼|好评(4)|中评(1)|0|全部(5)|4.6
南湖公园|好评(3)|0|0|全部(3)|5
金穗园温泉|好评(2234)|中评(22)|差评(5)|全部(2277)|4.9
凌云玉石博物馆|好评(4)|0|0|全部(4)|5
海湾公园|好评(151)|中评(8)|0|全部(159)|4.5
“爱在鼓浪屿”故事体验馆|好评(5)|0|0|全部(7)|3.6
厦门观音山梦幻海岸|0|0|差评(1)|全部(1)|1
丽田园休闲农庄|好评(143)|中评(4)|差评(1)|全部(156)|4.6
建发游艇俱乐部|0|0|0|全部(0)|0
厦门古龙酱文化园|好评(58)|中评(3)|0|全部(61)|4.7
厦门观音山冰雪世界|好评(719)|中评(47)|差评(30)|全部(846)|4.4
厦门帆迎帆船出海体验|好评(1)|0|0|全部(1)|5
厦门乘风帆船出海|好评(1)|0|0|全部(1)|5
盛之乡温泉渡假村|好评(1018)|中评(13)|差评(2)|全部(1050)|4.9
汤里温泉|好评(156)|0|0|全部(156)|5
厦门市莲福美术馆|0|0|0|全部(0)|0
鲸探海洋科普研学基地|0|0|0|全部(0)|0
闽南小院|0|0|0|全部(0)|0
厦门五通码头帆船俱乐部|0|0|0|全部(0)|0
喆航帆船俱乐部|0|0|0|全部(0)|0
厦门丝鹭游艇|0|0|0|全部(0)|0
跟浪者帆船游艇俱乐部|0|0|0|全部(0)|0
汀溪水库|0|0|0|全部(0)|0
莲花罗汉山|好评(28)|中评(2)|差评(1)|全部(34)|4.2
梵高星空艺术馆|0|0|0|全部(0)|0
百渡航海游艇帆船俱乐部|0|0|0|全部(0)|0
跑跑迷卡（瑞景商业广场店）|0|0|0|全部(0)|0
跑跑迷卡（大润发店）|0|0|0|全部(0)|0
跑跑迷卡（宝龙一城店）|0|0|0|全部(0)|0
跑跑迷卡（海沧西雅图店）|0|0|0|全部(0)|0
跑跑迷卡(海沧阿罗海店)|0|0|0|全部(0)|0
跑跑迷卡（中华城店）|0|0|0|全部(0)|0
五缘湾游艇体验中心|0|0|0|全部(0)|0
鹭江小夜曲|0|0|0|全部(0)|0
网界（五缘湾）游艇帆船海钓俱乐部|0|0|0|全部(0)|0
曲戈沉浸式换装体验馆|0|0|0|全部(0)|0
